Model,AUC,Gini,KS,Accuracy,Precision,Recall,F1,Brier,LogLoss
SGDClassifier (Optuna Tuned),0.7564388254260357,0.5128776508520714,0.3775195386222403,0.6753601508894019,0.15846272938390785,0.7009063444108762,0.25848622149595185,0.20021796348503962,0.58677064643081
XGBoost (Optuna Tuned),0.7777349328633472,0.5554698657266943,0.41596934417605763,0.6706773763454847,0.1636083608360836,0.7488418932527694,0.26854460093896715,0.06630370421493975,0.239521142344565
LightGBM (Optuna Tuned),0.7784543487380339,0.5569086974760677,0.41834859332731883,0.7051478000715424,0.1748234480715097,0.7129909365558912,0.2807963829618466,0.06620717002390834,0.23922513227015046
Stacking Classifier,0.7729120843623674,0.5458241687247347,0.40618415257332835,0.7214399531722545,0.17749032497481843,0.6743202416918429,0.28101393318784623,0.1897852834531106,0.5763813412286574
