,number,value,datetime_start,datetime_complete,duration,params_alpha,params_class_weight,params_eta0,params_learning_rate,params_loss,params_max_iter,params_penalty,state
0,0,0.7499215372539568,2025-04-06 12:05:44.995292,2025-04-06 12:07:44.072546,0 days 00:01:59.077254,0.11668804057750046,,0.001448239163660008,adaptive,modified_huber,1113,l2,COMPLETE
1,1,,2025-04-06 12:07:44.092548,2025-04-06 12:08:20.477826,0 days 00:00:36.385278,0.0002950564215425659,,0.0661782125250884,invscaling,modified_huber,1264,l2,FAIL
2,2,0.6394475460750847,2025-04-06 12:09:34.811934,2025-04-06 12:11:56.972572,0 days 00:02:22.160638,1.3194635113544997e-05,balanced,,optimal,modified_huber,1393,l2,COMPLETE
3,3,0.7376082487870776,2025-04-06 12:11:56.985968,2025-04-06 12:13:51.193711,0 days 00:01:54.207743,0.00012595846612935822,balanced,,optimal,log_loss,2219,elasticnet,COMPLETE
4,4,0.7489459079638969,2025-04-06 12:13:51.206709,2025-04-06 12:15:18.769020,0 days 00:01:27.562311,0.023606991544913497,,0.00231613732259894,invscaling,modified_huber,2852,l2,COMPLETE
5,5,0.7245970950960378,2025-04-06 12:15:18.783018,2025-04-06 12:16:47.341602,0 days 00:01:28.558584,0.47182218396944847,,0.013531029296720886,invscaling,log_loss,2561,elasticnet,COMPLETE
6,6,0.7445703933370557,2025-04-06 12:16:47.352603,2025-04-06 12:18:37.367814,0 days 00:01:50.015211,0.0017796271979964172,balanced,,optimal,modified_huber,2286,elasticnet,COMPLETE
7,7,0.7510434357355721,2025-04-06 12:18:37.380065,2025-04-06 12:20:19.789633,0 days 00:01:42.409568,0.0018635576379315922,balanced,0.009872157613835001,adaptive,log_loss,1212,l2,COMPLETE
8,8,0.7273648732219746,2025-04-06 12:20:19.803632,2025-04-06 12:21:48.312752,0 days 00:01:28.509120,0.8041930484727663,,0.01514343131479731,invscaling,modified_huber,2387,elasticnet,COMPLETE
9,9,0.7505560836577037,2025-04-06 12:21:48.326750,2025-04-06 12:24:01.716920,0 days 00:02:13.390170,0.000747936223338167,balanced,0.03847654820636811,adaptive,modified_huber,2352,elasticnet,COMPLETE
10,10,0.7495957519256876,2025-04-06 12:24:01.731920,2025-04-06 12:25:49.401812,0 days 00:01:47.669892,0.03259521077562179,balanced,0.13096375873279897,adaptive,log_loss,596,l2,COMPLETE
11,11,0.7445070789697552,2025-04-06 12:25:49.414813,2025-04-06 12:27:22.311422,0 days 00:01:32.896609,0.00015895223355387746,balanced,0.0002905993942856116,constant,log_loss,1508,l2,COMPLETE
12,12,0.7512632837209734,2025-04-06 12:27:22.324427,2025-04-06 12:29:34.482950,0 days 00:02:12.158523,0.0017114892325407766,balanced,0.13704194465032143,adaptive,log_loss,1880,elasticnet,COMPLETE
13,13,0.7501402162970728,2025-04-06 12:29:34.495950,2025-04-06 12:31:48.483942,0 days 00:02:13.987992,0.006514970211643728,balanced,0.4869839980216189,adaptive,log_loss,1834,elasticnet,COMPLETE
14,14,0.7504727670179795,2025-04-06 12:31:48.498358,2025-04-06 12:33:44.929258,0 days 00:01:56.430900,0.0002533712610756148,balanced,0.08577896829070862,adaptive,log_loss,907,l2,COMPLETE
15,15,0.6451194466418704,2025-04-06 12:33:44.942964,2025-04-06 12:35:24.475806,0 days 00:01:39.532842,0.006109300376949593,balanced,0.41016164894870777,constant,log_loss,1834,elasticnet,COMPLETE
16,16,0.7495822734644959,2025-04-06 12:35:24.489807,2025-04-06 12:37:15.202661,0 days 00:01:50.712854,1.7159614130671728e-05,balanced,0.0034585650588989476,adaptive,log_loss,1478,l2,COMPLETE
17,17,0.750945479485319,2025-04-06 12:37:15.217661,2025-04-06 12:38:55.312546,0 days 00:01:40.094885,0.00105086872884329,balanced,0.000491973796064327,adaptive,log_loss,1064,l2,COMPLETE
