Model,AUC,Gini,KS,Accuracy,Precision,Recall,F1,Brier,LogLoss
SGDClassifier (Optuna Tuned),0.7527147538473544,0.5054295076947088,0.3766225580941469,0.706058339566193,0.16662429450348298,0.6600201409869083,0.2660766482624229,0.2019685374654056,0.5902868978159523
XGBoost (Optuna Tuned),0.773606146326548,0.547212292653096,0.4120381236317879,0.7175213814184904,0.178182384064737,0.6918429003021148,0.2833807697067195,0.06658172762883527,0.24091513744520648
LightGBM (Optuna Tuned),0.7747088882484804,0.5494177764969608,0.4125448028482306,0.6949692692920555,0.1698971045704714,0.7150050352467271,0.2745552977571539,0.06652230939149302,0.24065283189618164
