,number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
37,37,0.769041827694033,2025-04-06 16:49:08.675572,2025-04-06 16:53:44.663011,0 days 00:04:35.987439,0.7542503959319944,0.3496299679993796,0.020671427032303603,7,462,1.0204461084469722e-08,0.00045907031596957197,0.8357691291751471,COMPLETE
38,38,0.7724804779401999,2025-04-06 16:53:44.675598,2025-04-06 16:58:05.171668,0 days 00:04:20.496070,0.6568371352435991,0.09075425719742047,0.04325078155692128,6,587,2.725826934398647e-08,1.8927270368075197e-08,0.9707727691069984,COMPLETE
39,39,0.7700798245081419,2025-04-06 16:58:05.184667,2025-04-06 17:02:32.384431,0 days 00:04:27.199764,0.7314677079811266,0.4340867481462825,0.07274031211493079,5,780,2.605533559973505e-07,4.719745084359852e-07,0.9299048067456408,COMPLETE
40,40,0.7717581283849089,2025-04-06 17:02:32.396448,2025-04-06 17:11:17.395447,0 days 00:08:44.998999,0.6871217326648936,0.02791366806142584,0.012673274864676294,8,918,2.038492568786564e-06,6.058386865337049e-06,0.7925197167423913,COMPLETE
41,41,0.7729823004102853,2025-04-06 17:11:17.408935,2025-04-06 17:16:49.670481,0 days 00:05:32.261546,0.8836950429339232,0.339460768459843,0.02445549058258532,6,820,1.4187178891846502e-07,8.711519794187757e-08,0.9008865979120221,COMPLETE
42,42,0.7729949032780414,2025-04-06 17:16:49.683524,2025-04-06 17:22:23.259180,0 days 00:05:33.575656,0.7911874934795061,0.28582362311898224,0.02693238758278538,6,852,7.10865764944501e-08,2.235545083907622e-08,0.8811561580858553,COMPLETE
43,43,0.7715454304298209,2025-04-06 17:22:23.273793,2025-04-06 17:28:23.742460,0 days 00:06:00.468667,0.7630313088049417,0.3962014105313127,0.03262774584755427,7,823,3.4476679197722846e-07,1.0727395646326623e-06,0.9989469507924266,COMPLETE
44,44,0.7681387952862992,2025-04-06 17:28:23.755461,2025-04-06 17:33:07.456044,0 days 00:04:43.700583,0.736185839641339,0.2441974229192067,0.018318604424591368,5,738,2.760596305750545e-08,1.0161132682679227e-08,0.8613330588926048,COMPLETE
45,45,0.7731491685914692,2025-04-06 17:33:07.468044,2025-04-06 17:38:48.099300,0 days 00:05:40.631256,0.8302761845083545,0.3232792637418986,0.034437720268727684,6,907,1.4715000262816638e-05,3.466461721083901e-07,0.9173427211308837,COMPLETE
46,46,0.772549896969427,2025-04-06 17:38:48.110883,2025-04-06 17:44:00.768180,0 days 00:05:12.657297,0.8452945103031401,0.3340638496216884,0.04311342999451037,5,957,1.599467970918833e-05,3.622544366988806e-07,0.9780359637346059,COMPLETE
