,number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_n_estimators,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,state
26,26,0.7733579873280867,2025-04-06 20:28:32.490563,2025-04-06 20:34:24.361400,0 days 00:05:51.870837,0.701723200974768,0.02098486246344869,10,697,51,2.8344643233964762e-06,0.6947209674448664,0.8656979609457138,COMPLETE
27,27,0.7667357433627957,2025-04-06 20:34:24.375063,2025-04-06 20:42:13.277740,0 days 00:07:48.902677,0.7072283580181364,0.010141237968085809,10,663,52,1.82010639494895e-06,0.3247901145680033,0.8627837034876323,COMPLETE
28,28,0.7664677627871878,2025-04-06 20:42:13.291739,2025-04-06 20:48:42.775540,0 days 00:06:29.483801,0.6828950063431785,0.014939861829738164,11,450,47,1.094528482653667e-08,0.006689304209299999,0.7638316749649213,COMPLETE
29,29,0.773290936798586,2025-04-06 20:48:42.790018,2025-04-06 20:53:34.785459,0 days 00:04:51.995441,0.6244518256875042,0.025012140498902352,8,562,68,1.6317118851869622e-06,0.9636347024746906,0.7875178466735523,COMPLETE
30,30,0.7725455301350316,2025-04-06 20:53:34.796460,2025-04-06 21:00:41.305763,0 days 00:07:06.509303,0.8013804479386893,0.030226276583697077,9,722,55,4.3308729790415125e-07,0.00021646253659925196,0.904448060652021,COMPLETE
31,31,0.7727334481835827,2025-04-06 21:00:41.319475,2025-04-06 21:06:51.239075,0 days 00:06:09.919600,0.6375476179631712,0.02169135382005226,8,586,75,2.6738200692671372e-06,0.7006328841487348,0.7948410745916057,COMPLETE
32,32,0.7691572685376824,2025-04-06 21:06:51.251479,2025-04-06 21:11:30.887039,0 days 00:04:39.635560,0.6212661222791723,0.01694088672177381,7,556,70,5.229960283678441e-05,0.9555650082992563,0.8670091187158181,COMPLETE
33,33,0.7734939297495077,2025-04-06 21:11:30.899445,2025-04-06 21:16:06.309716,0 days 00:04:35.410271,0.717880241868599,0.02911006164539761,10,701,33,1.373230906020176e-07,0.09702702885202365,0.7280571737001439,COMPLETE
34,34,0.7727228564531969,2025-04-06 21:16:06.324932,2025-04-06 21:20:41.938242,0 days 00:04:35.613310,0.7119754132927786,0.04645849875392594,11,677,33,7.102794729241637e-08,0.12727787837967316,0.6957302799699505,COMPLETE
35,35,0.7697218487358846,2025-04-06 21:20:41.961518,2025-04-06 21:26:44.939658,0 days 00:06:02.978140,0.6716550023986588,0.012665444504157426,10,787,33,3.33795566523637e-07,0.0007865480675163871,0.7214658940865385,COMPLETE
36,36,0.7729904707602223,2025-04-06 21:26:44.952656,2025-04-06 21:33:08.842135,0 days 00:06:23.889479,0.7273932597789918,0.030323399836292536,10,753,38,9.645052642842378e-08,0.008598606876332186,0.6576073203903169,COMPLETE
37,37,0.7649917861208789,2025-04-06 21:33:08.863133,2025-04-06 21:35:41.647732,0 days 00:02:32.784599,0.7327720267910859,0.06325748528680691,9,105,57,1.367531044759192e-08,0.05598290088399575,0.8206220397817509,COMPLETE
38,38,0.7724121271015663,2025-04-06 21:35:41.659731,2025-04-06 21:42:00.962963,0 days 00:06:19.303232,0.6672939527414966,0.01975482913661859,11,610,46,7.616798818116614e-07,0.2382015404146189,0.8508879158768343,COMPLETE
39,39,0.7736317691972663,2025-04-06 21:42:00.982967,2025-04-06 21:47:32.129586,0 days 00:05:31.146619,0.6955970592094374,0.030632614941458202,5,898,40,1.6506547402542452e-07,0.053854469685982675,0.7216041635594714,COMPLETE
40,40,0.7675911296829693,2025-04-06 21:47:32.142717,2025-04-06 21:51:08.917747,0 days 00:03:36.775030,0.9671326643779898,0.03278824895501703,3,926,28,1.4824215513923873e-07,0.008177418630602581,0.7128358736066287,COMPLETE
41,41,0.7731101682237089,2025-04-06 21:51:08.937052,2025-04-06 21:55:17.548198,0 days 00:04:08.611146,0.6963484142693703,0.04558824879377202,5,806,41,2.8024891955424858e-08,0.0574971137121155,0.7434456813889009,COMPLETE
42,42,0.7691851105163681,2025-04-06 21:55:17.560196,2025-04-06 22:00:26.895622,0 days 00:05:09.335426,0.7274686476895573,0.025050191615868817,4,841,33,4.368281727425731e-06,0.020355529429505304,0.6730952622221026,COMPLETE
43,43,,2025-04-06 22:00:26.920623,2025-04-06 22:00:37.101410,0 days 00:00:10.180787,0.6606503817615491,0.01930286186253338,9,887,40,3.977992599496195e-07,0.3818165701485029,0.815661713803763,FAIL
44,44,0.7633156698361033,2025-04-07 15:35:40.191400,2025-04-07 15:37:11.153796,0 days 00:01:30.962396,0.663991957689337,0.01714832926981629,9,177,42,5.629226854547347e-07,0.0009169937465716638,0.8150778231805744,COMPLETE
45,45,0.7699673767133828,2025-04-07 15:37:11.166798,2025-04-07 15:41:02.510943,0 days 00:03:51.344145,0.7849780106071107,0.012358359358990769,5,686,100,2.2714604008661097e-07,0.3807528077562191,0.7740831078747472,COMPLETE
